Part,Value,Device,Package,Description,Cost,URL
LED1,Pink,LEDCHIP-LED0603,CHIP-LED0603,LED,0.03,https://www.digikey.com/en/products/detail/everlight-electronics-co-ltd/EAST1608GA5/5142399
LED2,Pink,LEDCHIP-LED0603,CHIP-LED0603,LED,0.03,https://www.digikey.com/en/products/detail/everlight-electronics-co-ltd/EAST1608GA5/5142399
R2,2.2k,R-US_R0603,R0603,"RESISTOR, American symbol",0.01,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0603JT2K20/1758069
R3,2.2k,R-US_R0603,R0603,"RESISTOR, American symbol",0.01,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0603JT2K20/1758069
U$1,SPDT,CL-SB-22A-11T side setting,CL-SB-22A-11T side setting,SPDT side switch smd (listed as CL-SB-22A-12T on digikey but as device on manufacturers web site?),1.26,https://www.digikey.com/en/products/detail/nidec-copal-electronics/CL-SB-22A-12T/3507830
VBAT,cr1216 holder,BAT-HLD-012-SMT,BATHLD012SMT,Coin Cell Battery Holders Bat Hld CR1216/1225 Surface Mount,0.29,https://www.digikey.com/en/products/detail/linx-technologies-inc/BAT-HLD-012-SMT/3044013
BAT,CR1216,CR1216,CR1216,LiPo coin cell battery 12.5mm x 1.6mm,0.33,https://www.digikey.com/en/products/detail/tianqiu/CR1216/14565062
Board,Standard f4 from OSH park,n/a,n/a,3 for $5/ sq. inch +shipping cost,1.75,https://www.oshpark.com
Earring HW,Earring jumper hoops and hooks,n/a,n/a,Estimated cost overstock ,0.03,
Acrylic,1/8” cast acrylic in pink,n/a,n/a,Sheet costs $9.99 for sq foot,0.2,
,,,,TOTAL COST,3.94,